Id,UserId,Name,Date,Class,TagBased
1,2,Autobiographer,2011-08-16T19:12:28.847,3,False
2,3,Autobiographer,2011-08-16T19:12:28.847,3,False
3,5,Autobiographer,2011-08-16T19:12:28.847,3,False
4,8,Autobiographer,2011-08-16T19:12:28.847,3,False
5,9,Autobiographer,2011-08-16T19:12:28.847,3,False
6,16,Autobiographer,2011-08-16T19:12:28.847,3,False
7,18,Autobiographer,2011-08-16T19:12:28.847,3,False
8,19,Autobiographer,2011-08-16T19:12:28.847,3,False
9,20,Autobiographer,2011-08-16T19:12:28.847,3,False
10,7,Precognitive,2011-08-16T19:12:29.830,3,False
11,16,Precognitive,2011-08-16T19:12:29.847,3,False
12,19,Precognitive,2011-08-16T19:12:29.860,3,False
13,24,Autobiographer,2011-08-16T19:17:28.807,3,False
14,26,Autobiographer,2011-08-16T19:17:28.807,3,False
15,6,Student,2011-08-16T19:22:29.360,3,False
16,9,Supporter,2011-08-16T19:22:29.407,3,False
17,36,Autobiographer,2011-08-16T19:27:28.760,3,False
18,37,Autobiographer,2011-08-16T19:27:28.760,3,False
19,39,Autobiographer,2011-08-16T19:32:28.753,3,False
20,40,Autobiographer,2011-08-16T19:32:28.753,3,False
21,43,Autobiographer,2011-08-16T19:32:28.753,3,False
22,39,Supporter,2011-08-16T19:32:29.143,3,False
23,40,Supporter,2011-08-16T19:32:29.143,3,False
24,47,Autobiographer,2011-08-16T19:37:28.807,3,False
25,48,Autobiographer,2011-08-16T19:37:28.807,3,False
26,49,Autobiographer,2011-08-16T19:37:28.807,3,False
27,45,Supporter,2011-08-16T19:37:29.337,3,False
28,50,Autobiographer,2011-08-16T19:42:35.630,3,False
29,52,Autobiographer,2011-08-16T19:47:35.670,3,False
30,35,Supporter,2011-08-16T19:47:36.183,3,False
31,55,Autobiographer,2011-08-16T19:52:35.660,3,False
32,37,Critic,2011-08-16T19:52:35.723,3,False
33,37,Supporter,2011-08-16T19:52:36.037,3,False
34,57,Autobiographer,2011-08-16T19:57:35.670,3,False
35,60,Autobiographer,2011-08-16T20:02:35.677,3,False
36,2,Quorum,2011-08-16T20:12:30.030,3,False
37,20,Quorum,2011-08-16T20:12:30.043,3,False
38,17,Quorum,2011-08-16T20:12:30.043,3,False
39,6,Quorum,2011-08-16T20:12:30.043,3,False
40,4,Quorum,2011-08-16T20:12:30.043,3,False
41,25,Precognitive,2011-08-16T20:12:30.277,3,False
42,63,Precognitive,2011-08-16T20:12:30.277,3,False
43,58,Precognitive,2011-08-16T20:12:30.293,3,False
44,52,Precognitive,2011-08-16T20:12:30.293,3,False
45,29,Precognitive,2011-08-16T20:12:30.293,3,False
46,39,Precognitive,2011-08-16T20:12:30.293,3,False
47,64,Autobiographer,2011-08-16T20:12:35.690,3,False
48,17,Student,2011-08-16T20:12:36.113,3,False
49,6,Supporter,2011-08-16T20:12:36.127,3,False
50,36,Student,2011-08-16T20:17:36.230,3,False
51,17,Supporter,2011-08-16T20:17:36.243,3,False
53,29,Supporter,2011-08-16T20:22:36.580,3,False
56,10,Supporter,2011-08-16T20:27:36.523,3,False
57,56,Critic,2011-08-16T20:42:35.940,3,False
58,17,Editor,2011-08-16T20:42:35.970,3,False
59,70,Autobiographer,2011-08-16T20:52:35.797,3,False
60,50,Student,2011-08-16T20:52:36.233,3,False
61,25,Teacher,2011-08-16T20:52:36.313,3,False
62,71,Autobiographer,2011-08-16T20:57:35.947,3,False
63,17,Autobiographer,2011-08-16T21:07:35.820,3,False
64,17,Critic,2011-08-16T21:12:35.953,3,False
